Candidate_ID,Job_Category,Years_Experience,Education_Level,Skill_Fit_Score,AI_Score,Human_Score,AI_Decision,Human_Decision,Final_Decision,Score_Divergence,Decision_Agreement
21403,Software Engineer,4,PhD,76.72,66.67,70.52,1,1,1,-3.85,1
21407,Software Engineer,19,Bachelors,47.6,34.53,47.45,0,0,0,-12.92,1
21409,Software Engineer,14,Masters,70.28,61.74,57.85,0,0,0,3.89,1
21410,Software Engineer,10,Bachelors,66.34,68.27,85.83,1,1,1,-17.56,1
21417,Software Engineer,3,Associate,13.54,7.45,12.27,0,0,0,-4.82,1
21420,Software Engineer,16,Masters,62.34,44.54,63.98,0,0,0,-19.44,1
21423,Software Engineer,14,PhD,68.04,69.98,65.63,1,0,1,4.35,0
21425,Software Engineer,14,Bachelors,53.15,41.92,49.64,0,0,0,-7.72,1
21426,Software Engineer,6,Masters,27.23,14.83,21.64,0,0,0,-6.81,1
21439,Software Engineer,10,Masters,38.29,34.39,44.45,0,0,0,-10.06,1
21440,Software Engineer,12,PhD,73.2,61.32,77.04,0,1,1,-15.72,0
21446,Software Engineer,20,Bachelors,64.61,42.31,62.25,0,0,0,-19.94,1
21449,Software Engineer,2,Masters,34.15,23.63,47.17,0,0,0,-23.54,1
21451,Software Engineer,18,Bachelors,69.51,58.06,59.79,0,0,0,-1.73,1
21463,Software Engineer,14,Masters,70.5,58.53,68.44,0,0,0,-9.91,1
21464,Software Engineer,5,Bachelors,28.47,26.54,39.47,0,0,0,-12.93,1
21465,Software Engineer,20,Masters,53.85,44.02,76.19,0,1,1,-32.17,0
21466,Software Engineer,7,Associate,19.12,5.25,24.8,0,0,0,-19.55,1
21470,Software Engineer,17,Bachelors,60.62,44.67,51.85,0,0,0,-7.18,1
21473,Software Engineer,5,Masters,36.9,30.59,36.33,0,0,0,-5.74,1
21475,Software Engineer,16,Masters,46.55,28.54,54.64,0,0,0,-26.1,1
21485,Software Engineer,15,Bachelors,74.86,65.26,87.42,1,1,1,-22.16,1
21488,Software Engineer,19,Associate,48.53,34.89,45.63,0,0,0,-10.74,1
21491,Software Engineer,5,Bachelors,19.18,4.3,20.95,0,0,0,-16.65,1
21492,Software Engineer,14,Masters,58.61,54.36,63.09,0,0,0,-8.73,1
21493,Software Engineer,1,PhD,32.35,25.55,35.64,0,0,0,-10.09,1
